FLARE Header Issues Report
========================================

missing_file_path: 1808 files
missing_hash: 1808 files
missing_system_version: 1808 files
missing_updated: 1808 files

Detailed Issues:
--------------------
.kiro\specs\changelog-update-4-0-36\design.md: missing_file_path
.kiro\specs\changelog-update-4-0-36\design.md: missing_hash
.kiro\specs\changelog-update-4-0-36\design.md: missing_system_version
.kiro\specs\changelog-update-4-0-36\design.md: missing_updated
.kiro\specs\changelog-update-4-0-36\requirements.md: missing_file_path
.kiro\specs\changelog-update-4-0-36\requirements.md: missing_hash
.kiro\specs\changelog-update-4-0-36\requirements.md: missing_system_version
.kiro\specs\changelog-update-4-0-36\requirements.md: missing_updated
.kiro\specs\changelog-update-4-0-36\tasks.md: missing_file_path
.kiro\specs\changelog-update-4-0-36\tasks.md: missing_hash
.kiro\specs\changelog-update-4-0-36\tasks.md: missing_system_version
.kiro\specs\changelog-update-4-0-36\tasks.md: missing_updated
.kiro\specs\color-protocol-integration\design.md: missing_file_path
.kiro\specs\color-protocol-integration\design.md: missing_hash
.kiro\specs\color-protocol-integration\design.md: missing_system_version
.kiro\specs\color-protocol-integration\design.md: missing_updated
.kiro\specs\color-protocol-integration\requirements.md: missing_file_path
.kiro\specs\color-protocol-integration\requirements.md: missing_hash
.kiro\specs\color-protocol-integration\requirements.md: missing_system_version
.kiro\specs\color-protocol-integration\requirements.md: missing_updated
.kiro\specs\color-protocol-integration\tasks.md: missing_file_path
.kiro\specs\color-protocol-integration\tasks.md: missing_hash
.kiro\specs\color-protocol-integration\tasks.md: missing_system_version
.kiro\specs\color-protocol-integration\tasks.md: missing_updated
.kiro\specs\dialog-channel-migration\design.md: missing_file_path
.kiro\specs\dialog-channel-migration\design.md: missing_hash
.kiro\specs\dialog-channel-migration\design.md: missing_system_version
.kiro\specs\dialog-channel-migration\design.md: missing_updated
.kiro\specs\dialog-channel-migration\requirements.md: missing_file_path
.kiro\specs\dialog-channel-migration\requirements.md: missing_hash
.kiro\specs\dialog-channel-migration\requirements.md: missing_system_version
.kiro\specs\dialog-channel-migration\requirements.md: missing_updated
.kiro\specs\dialog-channel-migration\tasks.md: missing_file_path
.kiro\specs\dialog-channel-migration\tasks.md: missing_hash
.kiro\specs\dialog-channel-migration\tasks.md: missing_system_version
.kiro\specs\dialog-channel-migration\tasks.md: missing_updated
.kiro\specs\flip-v2-implementation\design.md: missing_file_path
.kiro\specs\flip-v2-implementation\design.md: missing_hash
.kiro\specs\flip-v2-implementation\design.md: missing_system_version
.kiro\specs\flip-v2-implementation\design.md: missing_updated
.kiro\specs\flip-v2-implementation\requirements.md: missing_file_path
.kiro\specs\flip-v2-implementation\requirements.md: missing_hash
.kiro\specs\flip-v2-implementation\requirements.md: missing_system_version
