"actor_channel_role_id` bigint NOT NULL","actor_id` bigint NOT NULL","channel_id` bigint NOT NULL","role_key` varchar(64) NOT NULL","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","handshake_metadata_json` json","awareness_snapshot_json` json","protocol_completion_status` varchar(64) DEFAULT 'pending'","protocol_version` varchar(20) DEFAULT '3.0.0'","join_sequence_step` tinyint DEFAULT 0","handshake_completed_ymdhis` bigint","awareness_completed_ymdhis` bigint","cjp_completed_ymdhis` bigint"
"actor_channel_role_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_id` bigint NOT NULL:BIGINT|NOT_NULL","channel_id` bigint NOT NULL:BIGINT|NOT_NULL","role_key` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL","handshake_metadata_json` json:JSON|NULL","awareness_snapshot_json` json:JSON|NULL","protocol_completion_status` varchar(64) DEFAULT 'pending':VARCHAR(64)|NULL|DEFAULT:'pending'","protocol_version` varchar(20) DEFAULT '3.0.0':VARCHAR(20)|NULL|DEFAULT:'3.0.0'","join_sequence_step` tinyint DEFAULT 0:INT|NULL|DEFAULT:0","handshake_completed_ymdhis` bigint:BIGINT|NULL","awareness_completed_ymdhis` bigint:BIGINT|NULL","cjp_completed_ymdhis` bigint:BIGINT|NULL"
2000,1,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2001,2,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2002,3,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2003,4,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2004,5,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2005,6,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2006,7,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2007,8,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2008,9,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2009,10,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2010,11,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2011,12,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2012,13,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2013,14,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2014,15,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2015,16,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2016,17,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2017,18,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2018,19,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2019,20,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2020,22,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2021,23,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2022,24,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2023,209,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
2024,1212,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
4000,1000,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
4001,1000,0,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
4002,1000,51,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
4998,0,42,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
5000,10000,0,captain,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
5001,10000,1,captain,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
5002,10000,42,captain,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
5003,10000,51,captain,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
5100,2000,51,admin,20260217230000,20260217230000,0,,,,pending,3.0.0,0,,,
20001,2001,1,captain,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20002,2002,1,administrator,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20003,2003,1,administrator,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20004,2004,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20005,2005,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20006,2006,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20007,2007,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20008,2008,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
20009,2009,1,monitor,20260219120000,20260219120000,0,,,,pending,3.0.0,0,,,
