"unified_analytics_path_id` bigint NOT NULL auto_increment","from_page_id` bigint","to_page_id` bigint","year_month_yyyymm` char(6) NOT NULL","transition_type` varchar(64) NOT NULL","transition_count` int NOT NULL DEFAULT 0","metadata_json` json","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"unified_analytics_path_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","from_page_id` bigint:BIGINT|NULL","to_page_id` bigint:BIGINT|NULL","year_month_yyyymm` char(6) NOT NULL:UNKNOWN|NOT_NULL","transition_type` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","transition_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","metadata_json` json:JSON|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,0,1,202511,first,168,,202511000000,202511000000,0,
2,1,3,202511,first,21,,202511000000,202511000000,0,
3,3,4,202511,first,5,,202511000000,202511000000,0,
4,3,5,202511,first,6,,202511000000,202511000000,0,
5,1,0,202511,first,91,,202511000000,202511000000,0,
6,0,6,202511,first,35,,202511000000,202511000000,0,
7,6,7,202511,first,1,,202511000000,202511000000,0,
8,7,0,202511,first,2,,202511000000,202511000000,0,
9,0,8,202511,first,1,,202511000000,202511000000,0,
10,8,1,202511,first,1,,202511000000,202511000000,0,
11,0,10,202511,first,1,,202511000000,202511000000,0,
12,10,0,202511,first,1,,202511000000,202511000000,0,
13,0,3,202511,first,63,,202511000000,202511000000,0,
14,3,1,202511,first,6,,202511000000,202511000000,0,
15,3,11,202511,first,7,,202511000000,202511000000,0,
16,11,12,202511,first,1,,202511000000,202511000000,0,
17,12,13,202511,first,2,,202511000000,202511000000,0,
18,13,14,202511,first,36,,202511000000,202511000000,0,
19,12,16,202511,first,1,,202511000000,202511000000,0,
20,16,4,202511,first,1,,202511000000,202511000000,0,
21,4,5,202511,first,1,,202511000000,202511000000,0,
22,1,17,202511,first,2,,202511000000,202511000000,0,
23,5,18,202511,first,1,,202511000000,202511000000,0,
24,1,20,202511,first,1,,202511000000,202511000000,0,
25,20,21,202511,first,5,,202511000000,202511000000,0,
26,21,23,202511,first,3,,202511000000,202511000000,0,
27,4,25,202511,first,5,,202511000000,202511000000,0,
28,25,26,202511,first,1,,202511000000,202511000000,0,
29,4,27,202511,first,5,,202511000000,202511000000,0,
30,21,20,202511,first,2,,202511000000,202511000000,0,
31,20,31,202511,first,4,,202511000000,202511000000,0,
32,31,32,202511,first,1,,202511000000,202511000000,0,
33,32,33,202511,first,1,,202511000000,202511000000,0,
34,33,34,202511,first,1,,202511000000,202511000000,0,
35,0,5,202511,first,2,,202511000000,202511000000,0,
36,5,3,202511,first,2,,202511000000,202511000000,0,
37,1,4,202511,first,10,,202511000000,202511000000,0,
38,4,0,202511,first,22,,202511000000,202511000000,0,
39,0,4,202511,first,13,,202511000000,202511000000,0,
40,3,20,202511,first,2,,202511000000,202511000000,0,
41,20,1,202511,first,1,,202511000000,202511000000,0,
42,4,13,202511,first,4,,202511000000,202511000000,0,
43,14,36,202511,first,2,,202511000000,202511000000,0,
44,3,6,202511,first,2,,202511000000,202511000000,0,
45,1,5,202511,first,3,,202511000000,202511000000,0,
