"visit_id` bigint NOT NULL auto_increment","content_id` bigint NOT NULL DEFAULT 0","actor_id` bigint NOT NULL DEFAULT 0","page_url` varchar(500) NOT NULL","page_domain` varchar(255) NOT NULL","page_path` varchar(500) NOT NULL","date_ymd` int NOT NULL","visits` int NOT NULL DEFAULT 0","depth` int NOT NULL DEFAULT 0","metadata_json` json","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL DEFAULT 0"
"visit_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","content_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","actor_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","page_url` varchar(500) NOT NULL:VARCHAR(500)|NOT_NULL","page_domain` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","page_path` varchar(500) NOT NULL:VARCHAR(500)|NOT_NULL","date_ymd` int NOT NULL:INT|NOT_NULL","visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","depth` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","metadata_json` json:JSON|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0"
1,1,1,http://lupopedia.com,lupopedia.com,,20260104,41,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 37, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 4}",0,0
2,1,1,http://lupopedia.com/craftysyntax,lupopedia.com,/craftysyntax,20260104,22,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 12, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 10}",0,0
3,1,1,http://lupopedia.com/search.php,lupopedia.com,/search.php,20260104,4,2,"{""legacy_pageurl"": ""http://lupopedia.com/search.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}",0,0
4,1,1,http://lupopedia.com/content.php,lupopedia.com,/content.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/content.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
5,1,1,http://lupopedia.com/content.php?id=1,lupopedia.com,/content.php?id=1,20260104,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/content.php?id=1"", ""legacy_parentrec"": 1511, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
6,1,1,http://lupopedia.com/index.php,lupopedia.com,/index.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/index.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
7,1,1,http://collaborativepages.com,collaborativepages.com,,20260104,2,1,"{""legacy_pageurl"": ""http://collaborativepages.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
8,1,1,http://lupopedia.com/craftysyntax_changelog.php,lupopedia.com,/craftysyntax_changelog.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax_changelog.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
9,1,1,http://lupopedia.com/craftysyntax/#challenge,lupopedia.com,/craftysyntax/#challenge,20260104,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#challenge"", ""legacy_parentrec"": 1509, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
10,1,1,http://lupopedia.com/changelog.php,lupopedia.com,/changelog.php,20260104,4,2,"{""legacy_pageurl"": ""http://lupopedia.com/changelog.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}",0,0
11,1,1,http://lupopedia.com/craftysyntax/#distribution,lupopedia.com,/craftysyntax/#distribution,20260104,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#distribution"", ""legacy_parentrec"": 1509, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
