"actor_channel_id` bigint NOT NULL","actor_id` bigint NOT NULL","channel_id` bigint NOT NULL","status` char(1) NOT NULL DEFAULT 'A'","start_date` bigint","channel_color` varchar(6) NOT NULL DEFAULT 'F7FAFF'","last_read_ymdhis` bigint","muted_until_ymdhis` bigint","preferences_json` json","dialog_output_file` varchar(500)","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"actor_channel_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_id` bigint NOT NULL:BIGINT|NOT_NULL","channel_id` bigint NOT NULL:BIGINT|NOT_NULL","status` char(1) NOT NULL DEFAULT 'A':UNKNOWN|NOT_NULL|DEFAULT:'A'","start_date` bigint:BIGINT|NULL","channel_color` varchar(6) NOT NULL DEFAULT 'F7FAFF':VARCHAR(6)|NOT_NULL|DEFAULT:'F7FAFF'","last_read_ymdhis` bigint:BIGINT|NULL","muted_until_ymdhis` bigint:BIGINT|NULL","preferences_json` json:JSON|NULL","dialog_output_file` varchar(500):VARCHAR(500)|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
0,0,0,A,20260106090000,F7FAFF,,,"{""ui"": {""theme"": ""kernel""}, ""notifications"": {""enabled"": false}}",,20260106090000,20260106090000,0,
1000,1,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1001,2,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1002,3,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1003,4,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1004,5,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1005,6,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1006,7,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1007,8,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1008,9,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1009,10,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1010,11,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1011,12,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1012,13,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1013,14,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1014,15,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1015,16,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1016,17,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1017,18,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1018,19,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1019,20,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1020,22,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1021,23,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1022,209,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1023,1212,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1024,24,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
1999,999,666,I,20260217230000,333333,,,,,20260217230000,20260217230000,0,
3000,1000,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
3001,1000,0,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
3002,1000,51,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
9998,0,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
10000,10000,0,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
10001,10000,1,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
10002,10000,42,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
10003,10000,51,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
20000,2000,51,A,20260217230000,F7FAFF,,,,,20260217230000,20260217230000,0,
