"analytics_visits_daily_id` bigint NOT NULL","content_id` bigint NOT NULL DEFAULT 0","url_path` varchar(500) NOT NULL DEFAULT ''","department_id` bigint NOT NULL DEFAULT 1","date_ymd` bigint NOT NULL","visits` int NOT NULL DEFAULT 0","unique_sessions` int NOT NULL DEFAULT 0","unique_actors` int NOT NULL DEFAULT 0","direct_visits` int NOT NULL DEFAULT 0","internal_visits` int NOT NULL DEFAULT 0","entry_count` int NOT NULL DEFAULT 0","exit_count` int NOT NULL DEFAULT 0","total_seconds` int NOT NULL DEFAULT 0","avg_seconds` int NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL"
"analytics_visits_daily_id` bigint NOT NULL:BIGINT|NOT_NULL","content_id` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","url_path` varchar(500) NOT NULL DEFAULT '':VARCHAR(500)|NOT_NULL|DEFAULT:''","department_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","date_ymd` bigint NOT NULL:BIGINT|NOT_NULL","visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","unique_sessions` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","unique_actors` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","direct_visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","internal_visits` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","entry_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","exit_count` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","total_seconds` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","avg_seconds` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL"
1,1,http://lupopedia.com/what_is_wolfie_headers.php,1,20260104,111,0,0,38,0,0,0,0,0,20260220133938,20260220133938
2,1,http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ,1,20260105,75,0,0,29,0,0,0,0,0,20260220133938,20260220133938
3,1,http://lupopedia.com/users.php,1,20260106,114,0,0,41,0,0,0,0,0,20260220133938,20260220133938
4,1,http://lupopedia.com/craftysyntax,1,20260107,5,0,0,2,0,0,0,0,0,20260220133938,20260220133938
5,1,http://lupopedia.com/support.php,1,20260108,61,0,0,22,0,0,0,0,0,20260220133938,20260220133938
6,1,http://lupopedia.com/support.php,1,20260109,66,0,0,23,0,0,0,0,0,20260220133938,20260220133938
7,1,http://lupopedia.com/search.php,1,20260110,46,0,0,17,0,0,0,0,0,20260220133938,20260220133938
8,1,http://lupopedia.com/support.php,1,20260111,17,0,0,7,0,0,0,0,0,20260220133938,20260220133938
9,1,http://lupopedia.com/craftysyntax,1,20260112,24,0,0,9,0,0,0,0,0,20260220133938,20260220133938
