"audit_log_id` bigint NOT NULL","channel_id` bigint NOT NULL","entity_type` varchar(32) NOT NULL","entity_id` bigint NOT NULL","event_type` varchar(100) NOT NULL","table_name` varchar(100)","table_id` bigint","payload_json` text","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"audit_log_id` bigint NOT NULL:BIGINT|NOT_NULL","channel_id` bigint NOT NULL:BIGINT|NOT_NULL","entity_type` varchar(32) NOT NULL:VARCHAR(32)|NOT_NULL","entity_id` bigint NOT NULL:BIGINT|NOT_NULL","event_type` varchar(100) NOT NULL:VARCHAR(100)|NOT_NULL","table_name` varchar(100):VARCHAR(100)|NULL","table_id` bigint:BIGINT|NULL","payload_json` text:TEXT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
1,0,actor,10001,login,,,"{""sessionid"": ""9ec900e34645b1ecd0b6bbcb4762da96"", ""totaltime"": 0}",20251110173812,20251110173812,0,
2,0,actor,10001,login,,,"{""sessionid"": ""37d8444428c18c4eddb29535e4c6019a"", ""totaltime"": 0}",20251110174745,20251110174745,0,
3,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""37d8444428c18c4eddb29535e4c6019a"", ""totaltime"": 0}",20251110174932,20251110174932,0,
4,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110175141,20251110175141,0,
5,0,actor,10001,login,,,"{""sessionid"": ""0dffa1920500a3eb41d1d47e5af63a49"", ""totaltime"": 0}",20251110180303,20251110180303,0,
6,0,actor,10001,Stopchat,lupo_dialog_threads,1,"{""sessionid"": """", ""totaltime"": 0}",20251110181001,20251110181001,0,
7,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110181020,20251110181020,0,
8,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110181804,20251110181804,0,
9,0,actor,10001,Stopchat,lupo_dialog_threads,2,"{""sessionid"": """", ""totaltime"": 0}",20251110184125,20251110184125,0,
10,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110184404,20251110184404,0,
11,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110184944,20251110184944,0,
12,1,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110185041,20251110185041,0,
13,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251110191219,20251110191219,0,
14,3,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110191304,20251110191304,0,
15,0,actor,10001,Stopchat,lupo_dialog_threads,3,"{""sessionid"": """", ""totaltime"": 0}",20251110191430,20251110191430,0,
16,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 5013}",20251110191305,20251110191305,0,
17,0,actor,10001,Logout,,,"{""sessionid"": ""b9a61c9e3f85e5a1c030bc1944506c16"", ""totaltime"": 1630}",20251110193929,20251110193929,0,
18,0,actor,10001,login,,,"{""sessionid"": ""c0132b91283751da3ef8489e7247a7a9"", ""totaltime"": 0}",20251110203138,20251110203138,0,
19,0,actor,10001,login,,,"{""sessionid"": ""0dffa1920500a3eb41d1d47e5af63a49"", ""totaltime"": 0}",20251110203536,20251110203536,0,
20,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""0dffa1920500a3eb41d1d47e5af63a49"", ""totaltime"": 0}",20251110215209,20251110215209,0,
21,5,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110215343,20251110215343,0,
22,0,actor,10001,Stopchat,lupo_dialog_threads,4,"{""sessionid"": """", ""totaltime"": 0}",20251110215522,20251110215522,0,
23,5,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110215612,20251110215612,0,
24,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251110224611,20251110224611,0,
25,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 3226}",20251110224555,20251110224555,0,
26,0,actor,10001,login,,,"{""sessionid"": ""0dffa1920500a3eb41d1d47e5af63a49"", ""totaltime"": 0}",20251110225945,20251110225945,0,
27,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""0dffa1920500a3eb41d1d47e5af63a49"", ""totaltime"": 0}",20251110225952,20251110225952,0,
28,5,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251110225953,20251110225953,0,
29,0,actor,10001,Stopchat,lupo_dialog_threads,5,"{""sessionid"": """", ""totaltime"": 0}",20251110225955,20251110225955,0,
30,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251110231213,20251110231213,0,
31,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251110231219,20251110231219,0,
32,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 766}",20251110231238,20251110231238,0,
33,0,actor,10001,Logout,,,"{""sessionid"": ""d50d366e8e40f632be429c1e6c981885"", ""totaltime"": 1658}",20251110233957,20251110233957,0,
34,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251110234553,20251110234553,0,
35,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251111002311,20251111002311,0,
36,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251111002311,20251111002311,0,
