"channel_id` bigint NOT NULL","federation_node_id` bigint NOT NULL","created_by_actor_id` bigint NOT NULL","default_actor_id` bigint NOT NULL DEFAULT 1","department_id` bigint NOT NULL DEFAULT 1","channel_key` varchar(64) NOT NULL","channel_slug` varchar(32) NOT NULL DEFAULT 'channel_key'","channel_type` varchar(32) NOT NULL DEFAULT 'chat_room'","language` varchar(16) NOT NULL DEFAULT 'en'","channel_name` varchar(255) NOT NULL","description` text","website_link` varchar(512)","metadata_json` text","status_flag` tinyint NOT NULL DEFAULT 1","end_ymdhis` bigint","duration_seconds` int","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","aal_metadata_json` json","fleet_composition_json` json","awareness_version` varchar(20) DEFAULT '3.0.0'","channel_number` int","parent_channel_id` bigint","is_kernel` tinyint NOT NULL DEFAULT 0","boot_sequence_order` int"
"channel_id` bigint NOT NULL:BIGINT|NOT_NULL","federation_node_id` bigint NOT NULL:BIGINT|NOT_NULL","created_by_actor_id` bigint NOT NULL:BIGINT|NOT_NULL","default_actor_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","department_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","channel_key` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","channel_slug` varchar(32) NOT NULL DEFAULT 'channel_key':VARCHAR(32)|NOT_NULL|DEFAULT:'channel_key'","channel_type` varchar(32) NOT NULL DEFAULT 'chat_room':VARCHAR(32)|NOT_NULL|DEFAULT:'chat_room'","language` varchar(16) NOT NULL DEFAULT 'en':VARCHAR(16)|NOT_NULL|DEFAULT:'en'","channel_name` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","description` text:TEXT|NULL","website_link` varchar(512):VARCHAR(512)|NULL","metadata_json` text:TEXT|NULL","status_flag` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","end_ymdhis` bigint:BIGINT|NULL","duration_seconds` int:INT|NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL","aal_metadata_json` json:JSON|NULL","fleet_composition_json` json:JSON|NULL","awareness_version` varchar(20) DEFAULT '3.0.0':VARCHAR(20)|NULL|DEFAULT:'3.0.0'","channel_number` int:INT|NULL","parent_channel_id` bigint:BIGINT|NULL","is_kernel` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","boot_sequence_order` int:INT|NULL"
0,1,0,1,0,system/kernel,channel_key,chat_room,en,"System Kernel Channel","Reserved channel for bootstrapping, migrations, and OS-level events.",,"{""purpose"": ""kernel"", ""protected"": true, ""auto_created"": true}",1,,,20260106084500,20260122160000,0,,,,3.0.0,0,,1,1
1,1,0,0,1,administration,administration,public,en,Administration,"Global admin channel (channel_id = 1).",,,1,,,20260220133916,20260220133916,0,,,,3.0.0,,,0,
42,1,0,1,0,lupopedia-development,lupopedia-development,chat_room,en,"Lupopedia Development","Crafty Syntax and Lupopedia development. Everything Crafty Syntax has inside Lupopedia: live chat, CRM, content, routing, agents, and semantic OS.",,"{""purpose"": ""development"", ""crafty_syntax"": true, ""channel_number"": 42}",1,,,20260217230000,20260217230000,0,,,,3.0.0,42,,0,
51,1,0,1,0,doctrine-council,doctrine-council,chat_room,en,"Doctrine Council","Doctrine Council channel 51. Governance, FLIP, and validation. Cursor 4.0.17 validation message seeded here.",,"{""purpose"": ""doctrine"", ""channel_number"": 51}",1,,,20260217230000,20260217230000,0,,,,3.0.0,51,,0,
666,1,0,1,1,anubis-quarantine,anubis-quarantine,chat_room,en,"ANUBIS Quarantine","Banned and rejected messages. ANUBIS routes banned-actor content here. References to channel 66 redirect to 666.",,"{""purpose"": ""quarantine"", ""anubis"": true, ""channel_number"": 666}",1,,,20260217230000,20260217230000,0,,,,3.0.0,666,,0,
2001,1,2001,2001,1,admin-test-system,admin-test-system,system,en,"Admin Test System","System channel for admin testing",,,1,,,20260219120000,20260219120000,0,,,,3.0.0,,,0,
2002,1,2001,2002,2,support-inbox,support-inbox,support,en,"Support Inbox","Customer support queue",,,1,,,20260219120000,20260219120000,0,,,,3.0.0,,,0,
2003,1,2010,2010,3,crm-leads,crm-leads,crm,en,"CRM Leads","Lead pipeline and follow-up",,,1,,,20260219120000,20260219120000,0,,,,3.0.0,,,0,
2004,1,2004,2004,4,docs-internal,docs-internal,docs,en,"Internal Docs","Internal documentation channel",,,1,,,20260219120000,20260219120000,0,,,,3.0.0,,,0,
