"content_id` bigint NOT NULL","content_parent_id` bigint","federation_node_id` bigint DEFAULT 1","department_id` bigint","actor_id` bigint","title` varchar(255) NOT NULL","slug` varchar(255) NOT NULL","custom_path` varchar(255)","description` text","seo_keywords` varchar(500)","body` text","content_type` varchar(50) DEFAULT 'article'","format` varchar(20) DEFAULT 'markdown'","content_url` varchar(2000)","default_collection_id` bigint","source_url` varchar(2000)","source_title` varchar(500)","is_template` tinyint NOT NULL DEFAULT 0","status` varchar(64) DEFAULT 'draft'","visibility` varchar(64) DEFAULT 'public'","view_count` int DEFAULT 0","share_count` int DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","utc_cycle` varchar(64) NOT NULL","triage_status` varchar(64) NOT NULL DEFAULT 'untriaged'","triage_notes` text","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","is_active` tinyint NOT NULL DEFAULT 1","deleted_ymdhis` bigint","content_sections` json","version_number` int NOT NULL DEFAULT 1","file_path_from_root` varchar(500) COMMENT 'FLIP Header: path from repo root (4.0.13)'","file_last_modified_system_version` varchar(20) COMMENT 'FLIP: system version at last file edit'","file_last_modified_utc` bigint COMMENT 'FLIP: UTC last modified YYYYMMDDHHIISS'","tags` json","dialog_notes` text","atom_mappings` json COMMENT 'Consolidated from lupo_content_atom_map'","category_mappings` json COMMENT 'Consolidated from lupo_content_category_map'","likes_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary'","shares_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary'","content_events` json COMMENT 'Consolidated from lupo_content_events'","hashtags` json COMMENT 'Consolidated from lupo_content_hashtag'","inbound_links` json COMMENT 'Consolidated from lupo_content_inbound_links'","like_users` json COMMENT 'Consolidated from lupo_content_likes'","media_attachments` json COMMENT 'Consolidated from lupo_content_media'","question_mappings` json COMMENT 'Consolidated from lupo_content_question_map'","content_references` json COMMENT 'Consolidated from lupo_content_references'","revision_history` json COMMENT 'Consolidated from lupo_content_revisions'","share_users` json COMMENT 'Consolidated from lupo_content_shares'","tag_relationships` json COMMENT 'Consolidated from lupo_content_tag_relationships'"
"content_id` bigint NOT NULL:BIGINT|NOT_NULL","content_parent_id` bigint:BIGINT|NULL","federation_node_id` bigint DEFAULT 1:BIGINT|NULL|DEFAULT:1","department_id` bigint:BIGINT|NULL","actor_id` bigint:BIGINT|NULL","title` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","slug` varchar(255) NOT NULL:VARCHAR(255)|NOT_NULL","custom_path` varchar(255):VARCHAR(255)|NULL","description` text:TEXT|NULL","seo_keywords` varchar(500):VARCHAR(500)|NULL","body` text:TEXT|NULL","content_type` varchar(50) DEFAULT 'article':VARCHAR(50)|NULL|DEFAULT:'article'","format` varchar(20) DEFAULT 'markdown':VARCHAR(20)|NULL|DEFAULT:'markdown'","content_url` varchar(2000):VARCHAR(2000)|NULL","default_collection_id` bigint:BIGINT|NULL","source_url` varchar(2000):VARCHAR(2000)|NULL","source_title` varchar(500):VARCHAR(500)|NULL","is_template` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","status` varchar(64) DEFAULT 'draft':VARCHAR(64)|NULL|DEFAULT:'draft'","visibility` varchar(64) DEFAULT 'public':VARCHAR(64)|NULL|DEFAULT:'public'","view_count` int DEFAULT 0:INT|NULL|DEFAULT:0","share_count` int DEFAULT 0:INT|NULL|DEFAULT:0","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","utc_cycle` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","triage_status` varchar(64) NOT NULL DEFAULT 'untriaged':VARCHAR(64)|NOT_NULL|DEFAULT:'untriaged'","triage_notes` text:TEXT|NULL","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","is_active` tinyint NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","deleted_ymdhis` bigint:BIGINT|NULL","content_sections` json:JSON|NULL","version_number` int NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","file_path_from_root` varchar(500) COMMENT 'FLIP Header: path from repo root (4.0.13)':VARCHAR(500)|NULL","file_last_modified_system_version` varchar(20) COMMENT 'FLIP: system version at last file edit':VARCHAR(20)|NULL","file_last_modified_utc` bigint COMMENT 'FLIP: UTC last modified YYYYMMDDHHIISS':BIGINT|NULL","tags` json:JSON|NULL","dialog_notes` text:TEXT|NULL","atom_mappings` json COMMENT 'Consolidated from lupo_content_atom_map':JSON|NULL","category_mappings` json COMMENT 'Consolidated from lupo_content_category_map':JSON|NULL","likes_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary':INT|NULL|DEFAULT:0","shares_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary':INT|NULL|DEFAULT:0","content_events` json COMMENT 'Consolidated from lupo_content_events':JSON|NULL","hashtags` json COMMENT 'Consolidated from lupo_content_hashtag':JSON|NULL","inbound_links` json COMMENT 'Consolidated from lupo_content_inbound_links':JSON|NULL","like_users` json COMMENT 'Consolidated from lupo_content_likes':JSON|NULL","media_attachments` json COMMENT 'Consolidated from lupo_content_media':JSON|NULL","question_mappings` json COMMENT 'Consolidated from lupo_content_question_map':JSON|NULL","content_references` json COMMENT 'Consolidated from lupo_content_references':JSON|NULL","revision_history` json COMMENT 'Consolidated from lupo_content_revisions':JSON|NULL","share_users` json COMMENT 'Consolidated from lupo_content_shares':JSON|NULL","tag_relationships` json COMMENT 'Consolidated from lupo_content_tag_relationships':JSON|NULL"
1001,,1,,,Overview,overview,,,,"This is starter content for the Overview section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1002,,1,,,Doctrine,doctrine,,,,"This is starter content for the Doctrine section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1003,,1,,,Architecture,architecture,,,,"This is starter content for the Architecture section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1004,,1,,,Schema,schema,,,,"This is starter content for the Schema section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1005,,1,,,Agents,agents,,,,"This is starter content for the Agents section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1006,,1,,,UI-UX,ui-ux,,,,"This is starter content for the UI-UX section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1007,,1,,,"Developer Guide",developer-guide,,,,"This is starter content for the Developer Guide section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1008,,1,,,History,history,,,,"This is starter content for the History section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
1009,,1,,,Appendix,appendix,,,,"This is starter content for the Appendix section. You can edit this in the admin panel.",article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,,,,,,,0,0,,,,,,,,,,
