"department_role_id` bigint NOT NULL","actor_id` bigint NOT NULL","department_id` bigint NOT NULL","role_key` varchar(64) NOT NULL","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
"department_role_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_id` bigint NOT NULL:BIGINT|NOT_NULL","department_id` bigint NOT NULL:BIGINT|NOT_NULL","role_key` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL:BIGINT|NOT_NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint:BIGINT|NULL"
7000,1,0,administrator,20260217230000,20260217230000,0,
7001,2,0,administrator,20260217230000,20260217230000,0,
7002,3,0,administrator,20260217230000,20260217230000,0,
7003,4,0,administrator,20260217230000,20260217230000,0,
7004,5,0,administrator,20260217230000,20260217230000,0,
7005,6,0,administrator,20260217230000,20260217230000,0,
7006,7,0,administrator,20260217230000,20260217230000,0,
7007,8,0,administrator,20260217230000,20260217230000,0,
7008,9,0,administrator,20260217230000,20260217230000,0,
7009,10,0,administrator,20260217230000,20260217230000,0,
7010,11,0,administrator,20260217230000,20260217230000,0,
7011,12,0,administrator,20260217230000,20260217230000,0,
7012,13,0,administrator,20260217230000,20260217230000,0,
7013,14,0,administrator,20260217230000,20260217230000,0,
7014,15,0,administrator,20260217230000,20260217230000,0,
7015,16,0,administrator,20260217230000,20260217230000,0,
7016,17,0,administrator,20260217230000,20260217230000,0,
7017,18,0,administrator,20260217230000,20260217230000,0,
7018,19,0,administrator,20260217230000,20260217230000,0,
7019,20,0,administrator,20260217230000,20260217230000,0,
7020,22,0,administrator,20260217230000,20260217230000,0,
7021,23,0,administrator,20260217230000,20260217230000,0,
7022,24,0,administrator,20260217230000,20260217230000,0,
7023,209,0,administrator,20260217230000,20260217230000,0,
7024,1212,0,administrator,20260217230000,20260217230000,0,
7025,10000,0,administrator,20260217230000,20260217230000,0,
7026,12150,0,administrator,20260220133938,20260220133938,0,
