"edge_id` bigint NOT NULL","left_object_type` varchar(50) NOT NULL","left_object_id` bigint NOT NULL","right_object_type` varchar(50) NOT NULL","right_object_id` bigint NOT NULL","edge_type` varchar(100) NOT NULL","channel_id` bigint","channel_key` varchar(64)","weight_score` int NOT NULL DEFAULT 0","sort_num` int NOT NULL DEFAULT 0","actor_id` bigint","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL DEFAULT 0","semantic_weight` decimal(5,2) DEFAULT 0.00","relationship_type` varchar(64) DEFAULT 'semantic'","bidirectional` tinyint NOT NULL DEFAULT 0","context_scope` varchar(100)"
"edge_id` bigint NOT NULL:BIGINT|NOT_NULL","left_object_type` varchar(50) NOT NULL:VARCHAR(50)|NOT_NULL","left_object_id` bigint NOT NULL:BIGINT|NOT_NULL","right_object_type` varchar(50) NOT NULL:VARCHAR(50)|NOT_NULL","right_object_id` bigint NOT NULL:BIGINT|NOT_NULL","edge_type` varchar(100) NOT NULL:VARCHAR(100)|NOT_NULL","channel_id` bigint:BIGINT|NULL","channel_key` varchar(64):VARCHAR(64)|NULL","weight_score` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","sort_num` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","actor_id` bigint:BIGINT|NULL","is_deleted` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","deleted_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","created_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","updated_ymdhis` bigint NOT NULL DEFAULT 0:BIGINT|NOT_NULL|DEFAULT:0","semantic_weight` decimal(5,2) DEFAULT 0.00:UNKNOWN|NULL|DEFAULT:0.00","relationship_type` varchar(64) DEFAULT 'semantic':VARCHAR(64)|NULL|DEFAULT:'semantic'","bidirectional` tinyint NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","context_scope` varchar(100):VARCHAR(100)|NULL"
900001,channel,42,content,2001,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
900002,channel,42,content,2002,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
900003,channel,0,content,2001,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
900004,channel,51,content,2001,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
900005,channel,0,content,2002,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
900006,channel,51,content,2002,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910000,channel,0,content,5000,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910001,channel,51,content,5000,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910002,channel,0,content,5001,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910003,channel,51,content,5001,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910004,channel,0,content,5002,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910005,channel,51,content,5002,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910006,channel,0,content,5003,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910007,channel,51,content,5003,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910008,channel,0,content,5004,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910009,channel,51,content,5004,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910010,channel,0,content,5005,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910011,channel,51,content,5005,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910012,channel,0,content,5006,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910013,channel,51,content,5006,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910014,channel,0,content,5007,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910015,channel,51,content,5007,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910016,channel,0,content,5008,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910017,channel,51,content,5008,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910018,channel,0,content,5009,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910019,channel,51,content,5009,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910020,channel,0,content,5010,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910021,channel,51,content,5010,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910022,channel,0,content,5011,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910023,channel,51,content,5011,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910024,channel,0,content,5012,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910025,channel,51,content,5012,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910026,channel,0,content,5013,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910027,channel,51,content,5013,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910028,channel,0,content,5014,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910029,channel,51,content,5014,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910030,channel,0,content,5015,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910031,channel,51,content,5015,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910032,channel,0,content,5016,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910033,channel,51,content,5016,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910034,channel,0,content,5017,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910035,channel,51,content,5017,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910036,channel,0,content,5018,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910037,channel,51,content,5018,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910038,channel,0,content,5019,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910039,channel,51,content,5019,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
