"referer_id` bigint NOT NULL auto_increment","content_id` bigint NOT NULL","actor_id` bigint NOT NULL","referer_url` varchar(2000)","referer_domain` varchar(255)","referer_path` varchar(2000)","referer_content_id` bigint","date_ymd` int NOT NULL","visits` int NOT NULL DEFAULT 1","depth` int NOT NULL DEFAULT 0","metadata_json` json"
"referer_id` bigint NOT NULL auto_increment:BIGINT|NOT_NULL","content_id` bigint NOT NULL:BIGINT|NOT_NULL","actor_id` bigint NOT NULL:BIGINT|NOT_NULL","referer_url` varchar(2000):VARCHAR(2000)|NULL","referer_domain` varchar(255):VARCHAR(255)|NULL","referer_path` varchar(2000):VARCHAR(2000)|NULL","referer_content_id` bigint:BIGINT|NULL","date_ymd` int NOT NULL:INT|NOT_NULL","visits` int NOT NULL DEFAULT 1:INT|NOT_NULL|DEFAULT:1","depth` int NOT NULL DEFAULT 0:INT|NOT_NULL|DEFAULT:0","metadata_json` json:JSON|NULL"
1,0,0,,,,,20260104,2,1,"{""legacy_pageurl"": ""http://cpls49.srvpanel.com:2083"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
2,0,0,,,,,20260104,2,1,"{""legacy_pageurl"": ""http://customers-cloud.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
3,0,0,,,,,20260104,4,1,"{""legacy_pageurl"": ""http://chat.umbrailustratus.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
4,0,0,,,,,20260104,2,1,"{""legacy_pageurl"": ""http://cripto2029.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
5,0,0,,,,,20260105,4,1,"{""legacy_pageurl"": ""http://m.facebook.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
6,0,0,,,,,20260105,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
7,0,0,,,,,20260105,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
8,0,0,,,,,20260105,2,1,"{""legacy_pageurl"": ""http://cripto2029.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
9,0,0,,,,,20260106,2,1,"{""legacy_pageurl"": ""http://cripto2029.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
10,0,0,,,,,20260106,6,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 3, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 3}"
11,0,0,,,,,20260106,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
12,0,0,,,,,20260107,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
13,0,0,,,,,20260108,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
14,0,0,,,,,20260109,2,1,"{""legacy_pageurl"": ""http://installatron.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
15,0,0,,,,,20260109,2,1,"{""legacy_pageurl"": ""http://cripto2029.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
16,0,0,,,,,20260109,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
17,0,0,,,,,20260110,2,1,"{""legacy_pageurl"": ""http://cypruslogistics.com.tr"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
18,0,0,,,,,20260111,2,1,"{""legacy_pageurl"": ""http://cn.bing.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
19,0,0,,,,,20260112,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
20,0,0,,,,,20260112,2,1,"{""legacy_pageurl"": ""http://ndchost.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
21,0,0,,,,,20260113,2,1,"{""legacy_pageurl"": ""http://abol.us"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
22,0,0,,,,,20260113,2,1,"{""legacy_pageurl"": ""http://bing.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
