"entity_type` varchar(64) NOT NULL","entity_index` int NOT NULL","federation_node_id` bigint NOT NULL DEFAULT 1","created_utc` bigint NOT NULL","metadata_json` json"
"entity_type` varchar(64) NOT NULL:VARCHAR(64)|NOT_NULL","entity_index` int NOT NULL:INT|NOT_NULL","federation_node_id` bigint NOT NULL DEFAULT 1:BIGINT|NOT_NULL|DEFAULT:1","created_utc` bigint NOT NULL:BIGINT|NOT_NULL","metadata_json` json:JSON|NULL"
actor,1,1,20260220133939,
actor,2,1,20260220133939,
actor,3,1,20260220133939,
actor,4,1,20260220133939,
actor,5,1,20260220133939,
actor,6,1,20260220133939,
actor,7,1,20260220133939,
actor,8,1,20260220133939,
actor,9,1,20260220133939,
actor,10,1,20260220133939,
actor,11,1,20260220133939,
actor,12,1,20260220133939,
actor,13,1,20260220133939,
actor,14,1,20260220133939,
actor,15,1,20260220133939,
actor,16,1,20260220133939,
actor,17,1,20260220133939,
actor,18,1,20260220133939,
actor,19,1,20260220133939,
actor,20,1,20260220133939,
actor,21,1,20260220133939,
actor,22,1,20260220133939,
actor,23,1,20260220133939,
actor,24,1,20260220133939,
actor,25,1,20260220133939,
actor,26,1,20260220133939,
actor,27,1,20260220133939,
actor,28,1,20260220133939,
actor,29,1,20260220133939,
actor,30,1,20260220133939,
actor,31,1,20260220133939,
actor,32,1,20260220133939,
actor,33,1,20260220133939,
actor,34,1,20260220133939,
actor,35,1,20260220133939,
actor,36,1,20260220133939,
actor,37,1,20260220133939,
actor,38,1,20260220133939,
actor,39,1,20260220133939,
actor,40,1,20260220133939,
actor,41,1,20260220133939,
actor,42,1,20260220133939,
actor,43,1,20260220133939,
actor,44,1,20260220133939,
actor,45,1,20260220133939,
actor,46,1,20260220133939,
actor,47,1,20260220133939,
actor,48,1,20260220133939,
actor,49,1,20260220133939,
actor,50,1,20260220133939,
actor,51,1,20260220133939,
actor,52,1,20260220133939,
actor,53,1,20260220133939,
actor,54,1,20260220133939,
actor,55,1,20260220133939,
actor,56,1,20260220133939,
actor,57,1,20260220133939,
actor,58,1,20260220133939,
actor,59,1,20260220133939,
actor,60,1,20260220133939,
actor,61,1,20260220133939,
actor,62,1,20260220133939,
actor,63,1,20260220133939,
actor,64,1,20260220133939,
actor,65,1,20260220133939,
actor,66,1,20260220133939,
actor,67,1,20260220133939,
actor,68,1,20260220133939,
actor,69,1,20260220133939,
actor,70,1,20260220133939,
actor,71,1,20260220133939,
actor,72,1,20260220133939,
actor,73,1,20260220133939,
actor,74,1,20260220133939,
actor,75,1,20260220133939,
actor,76,1,20260220133939,
actor,77,1,20260220133939,
actor,78,1,20260220133939,
actor,79,1,20260220133939,
actor,80,1,20260220133939,
actor,81,1,20260220133939,
actor,82,1,20260220133939,
actor,83,1,20260220133939,
actor,84,1,20260220133939,
actor,85,1,20260220133939,
actor,86,1,20260220133939,
actor,87,1,20260220133939,
actor,88,1,20260220133939,
actor,89,1,20260220133939,
actor,90,1,20260220133939,
actor,91,1,20260220133939,
actor,92,1,20260220133939,
actor,93,1,20260220133939,
actor,94,1,20260220133939,
actor,95,1,20260220133939,
actor,96,1,20260220133939,
actor,97,1,20260220133939,
actor,98,1,20260220133939,
actor,99,1,20260220133939,
actor,100,1,20260220133939,
actor,101,1,20260220133939,
actor,102,1,20260220133939,
actor,103,1,20260220133939,
actor,104,1,20260220133939,
actor,105,1,20260220133939,
actor,106,1,20260220133939,
actor,107,1,20260220133939,
actor,108,1,20260220133939,
actor,109,1,20260220133939,
actor,110,1,20260220133939,
actor,111,1,20260220133939,
actor,112,1,20260220133939,
actor,113,1,20260220133939,
actor,114,1,20260220133939,
actor,115,1,20260220133939,
actor,116,1,20260220133939,
actor,117,1,20260220133939,
actor,118,1,20260220133939,
actor,119,1,20260220133939,
actor,120,1,20260220133939,
actor,121,1,20260220133939,
actor,122,1,20260220133939,
actor,123,1,20260220133939,
actor,124,1,20260220133939,
actor,125,1,20260220133939,
actor,126,1,20260220133939,
actor,127,1,20260220133939,
actor,128,1,20260220133939,
actor,129,1,20260220133939,
actor,130,1,20260220133939,
actor,131,1,20260220133939,
actor,132,1,20260220133939,
actor,133,1,20260220133939,
actor,134,1,20260220133939,
actor,135,1,20260220133939,
actor,136,1,20260220133939,
actor,137,1,20260220133939,
actor,138,1,20260220133939,
actor,139,1,20260220133939,
actor,140,1,20260220133939,
actor,141,1,20260220133939,
actor,142,1,20260220133939,
actor,143,1,20260220133939,
actor,144,1,20260220133939,
actor,145,1,20260220133939,
actor,146,1,20260220133939,
actor,147,1,20260220133939,
actor,148,1,20260220133939,
actor,149,1,20260220133939,
actor,150,1,20260220133939,
actor,151,1,20260220133939,
actor,152,1,20260220133939,
actor,153,1,20260220133939,
actor,154,1,20260220133939,
actor,155,1,20260220133939,
actor,156,1,20260220133939,
actor,157,1,20260220133939,
actor,158,1,20260220133939,
actor,159,1,20260220133939,
actor,160,1,20260220133939,
actor,161,1,20260220133939,
actor,162,1,20260220133939,
actor,163,1,20260220133939,
actor,164,1,20260220133939,
actor,165,1,20260220133939,
actor,166,1,20260220133939,
actor,167,1,20260220133939,
actor,168,1,20260220133939,
actor,169,1,20260220133939,
actor,170,1,20260220133939,
actor,171,1,20260220133939,
actor,172,1,20260220133939,
actor,173,1,20260220133939,
actor,174,1,20260220133939,
actor,175,1,20260220133939,
actor,176,1,20260220133939,
actor,177,1,20260220133939,
actor,178,1,20260220133939,
actor,179,1,20260220133939,
actor,180,1,20260220133939,
actor,181,1,20260220133939,
actor,182,1,20260220133939,
actor,183,1,20260220133939,
actor,184,1,20260220133939,
actor,185,1,20260220133939,
actor,186,1,20260220133939,
actor,187,1,20260220133939,
