string,string,bigint,bigint,bigint,int,int,string,string,string,string,string,string,string,string
file_path_from_root,file_last_modified_system_version,file_last_modified_utc,file_created_ymdhis,file_updated_ymdhis,channel_id,content_id,registry_key,x_forward,web_canonical,web_aliases,web_slug,web_slug_encoding,web_base_path,web_url_pattern
docs/doctrine/FLIP/FLIPPING_FILE_LEXA_LILITH.md,4.0.16,20260217230000,20260217000000,20260218000000,42,2001,docs/doctrine/FLIP/FLIPPING_FILE_LEXA_LILITH.md,ProtonVPN Mexico,/doctrine/FLIP/FLIPPING_FILE_LEXA_LILITH,/docs/FLIPPING_FILE_LEXA_LILITH|/qa/FLIPPING+FILE+LEXA+LILITH,FLIPPING_FILE_LEXA_LILITH,underscore,/doctrine/FLIP,/{base}/{slug}
docs/doctrine/FLIP/FLIP_DOCTRINE.md,4.0.16,0,20260217000000,20260218000000,42,2002,docs/doctrine/FLIP/FLIP_DOCTRINE.md,ProtonVPN Mexico,/doctrine/FLIP/FLIP_DOCTRINE,/docs/FLIP_DOCTRINE|/qa/FLIP+DOCTRINE,FLIP_DOCTRINE,underscore,/doctrine/FLIP,/{base}/{slug}
docs/doctrine/AGENT_BOUNDARIES_COMPACT.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5000,docs/doctrine/AGENT_BOUNDARIES_COMPACT.md,ProtonVPN Mexico,/doctrine/AGENT_BOUNDARIES_COMPACT,/docs/AGENT_BOUNDARIES_COMPACT|/qa/AGENT+BOUNDARIES+COMPACT,AGENT_BOUNDARIES_COMPACT,underscore,/doctrine,/{base}/{slug}
docs/doctrine/AI_AGENT_BOOT_NOTES.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5001,docs/doctrine/AI_AGENT_BOOT_NOTES.md,ProtonVPN Mexico,/doctrine/AI_AGENT_BOOT_NOTES,/docs/AI_AGENT_BOOT_NOTES|/qa/AI+AGENT+BOOT+NOTES,AI_AGENT_BOOT_NOTES,underscore,/doctrine,/{base}/{slug}
docs/doctrine/ANUBIS/ANUBIS_IMPLEMENTATION_SUMMARY.md,4.0.16,20260217153700,20260217000000,20260218000000,51,5002,docs/doctrine/ANUBIS/ANUBIS_IMPLEMENTATION_SUMMARY.md,ProtonVPN Mexico,/doctrine/ANUBIS/ANUBIS_IMPLEMENTATION_SUMMARY,/docs/ANUBIS_IMPLEMENTATION_SUMMARY|/qa/ANUBIS+IMPLEMENTATION+SUMMARY,ANUBIS_IMPLEMENTATION_SUMMARY,underscore,/doctrine/ANUBIS,/{base}/{slug}
docs/doctrine/ANUBIS/ANUBIS_ORPHAN_RULES.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5003,docs/doctrine/ANUBIS/ANUBIS_ORPHAN_RULES.md,ProtonVPN Mexico,/doctrine/ANUBIS/ANUBIS_ORPHAN_RULES,/docs/ANUBIS_ORPHAN_RULES|/qa/ANUBIS+ORPHAN+RULES,ANUBIS_ORPHAN_RULES,underscore,/doctrine/ANUBIS,/{base}/{slug}
docs/doctrine/ANUBIS/ANUBIS_OVERVIEW.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5004,docs/doctrine/ANUBIS/ANUBIS_OVERVIEW.md,ProtonVPN Mexico,/doctrine/ANUBIS/ANUBIS_OVERVIEW,/docs/ANUBIS_OVERVIEW|/qa/ANUBIS+OVERVIEW,ANUBIS_OVERVIEW,underscore,/doctrine/ANUBIS,/{base}/{slug}
docs/doctrine/ANUBIS/ANUBIS_PROGRAM_SPEC.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5005,docs/doctrine/ANUBIS/ANUBIS_PROGRAM_SPEC.md,ProtonVPN Mexico,/doctrine/ANUBIS/ANUBIS_PROGRAM_SPEC,/docs/ANUBIS_PROGRAM_SPEC|/qa/ANUBIS+PROGRAM+SPEC,ANUBIS_PROGRAM_SPEC,underscore,/doctrine/ANUBIS,/{base}/{slug}
docs/doctrine/CASCADE_TABLE_CEILING_PROTOCOL.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5006,docs/doctrine/CASCADE_TABLE_CEILING_PROTOCOL.md,ProtonVPN Mexico,/doctrine/CASCADE_TABLE_CEILING_PROTOCOL,/docs/CASCADE_TABLE_CEILING_PROTOCOL|/qa/CASCADE+TABLE+CEILING+PROTOCOL,CASCADE_TABLE_CEILING_PROTOCOL,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CLASS_CONVERSION_DOCTRINE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5007,docs/doctrine/CLASS_CONVERSION_DOCTRINE.md,ProtonVPN Mexico,/doctrine/CLASS_CONVERSION_DOCTRINE,/docs/CLASS_CONVERSION_DOCTRINE|/qa/CLASS+CONVERSION+DOCTRINE,CLASS_CONVERSION_DOCTRINE,underscore,/doctrine,/{base}/{slug}
docs/doctrine/COMPATIBILITY_MATRIX.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5008,docs/doctrine/COMPATIBILITY_MATRIX.md,ProtonVPN Mexico,/doctrine/COMPATIBILITY_MATRIX,/docs/COMPATIBILITY_MATRIX|/qa/COMPATIBILITY+MATRIX,COMPATIBILITY_MATRIX,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CONSOLIDATION_VALIDATION_REQUIREMENTS.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5009,docs/doctrine/CONSOLIDATION_VALIDATION_REQUIREMENTS.md,ProtonVPN Mexico,/doctrine/CONSOLIDATION_VALIDATION_REQUIREMENTS,/docs/CONSOLIDATION_VALIDATION_REQUIREMENTS|/qa/CONSOLIDATION+VALIDATION+REQUIREMENTS,CONSOLIDATION_VALIDATION_REQUIREMENTS,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5010,docs/doctrine/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST.md,ProtonVPN Mexico,/doctrine/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST,/docs/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST|/qa/CRAFTY+SYNTAX+IMPORT+IMPLEMENTATION+CHECKLIST,CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CRAFTY_SYNTAX_INTEGRATION_PLAN.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5011,docs/doctrine/CRAFTY_SYNTAX_INTEGRATION_PLAN.md,ProtonVPN Mexico,/doctrine/CRAFTY_SYNTAX_INTEGRATION_PLAN,/docs/CRAFTY_SYNTAX_INTEGRATION_PLAN|/qa/CRAFTY+SYNTAX+INTEGRATION+PLAN,CRAFTY_SYNTAX_INTEGRATION_PLAN,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5012,docs/doctrine/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF.md,ProtonVPN Mexico,/doctrine/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF,/docs/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF|/qa/CRAFTY+SYNTAX+MIGRATION+PROJECT+BRIEF,CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF,underscore,/doctrine,/{base}/{slug}
docs/doctrine/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5013,docs/doctrine/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN.md,ProtonVPN Mexico,/doctrine/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN,/docs/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN|/qa/CRAFTY+SYNTAX+STATE+BASED+IMPLEMENTATION+PLAN,CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN,underscore,/doctrine,/{base}/{slug}
docs/doctrine/DEVELOPMENT_WORKFLOW_DOCTRINE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5014,docs/doctrine/DEVELOPMENT_WORKFLOW_DOCTRINE.md,ProtonVPN Mexico,/doctrine/DEVELOPMENT_WORKFLOW_DOCTRINE,/docs/DEVELOPMENT_WORKFLOW_DOCTRINE|/qa/DEVELOPMENT+WORKFLOW+DOCTRINE,DEVELOPMENT_WORKFLOW_DOCTRINE,underscore,/doctrine,/{base}/{slug}
docs/doctrine/DOCTRINE_FILE_STRUCTURE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5015,docs/doctrine/DOCTRINE_FILE_STRUCTURE.md,ProtonVPN Mexico,/doctrine/DOCTRINE_FILE_STRUCTURE,/docs/DOCTRINE_FILE_STRUCTURE|/qa/DOCTRINE+FILE+STRUCTURE,DOCTRINE_FILE_STRUCTURE,underscore,/doctrine,/{base}/{slug}
docs/doctrine/DOCTRINE_TABLES_TRANSITION_NOTE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5016,docs/doctrine/DOCTRINE_TABLES_TRANSITION_NOTE.md,ProtonVPN Mexico,/doctrine/DOCTRINE_TABLES_TRANSITION_NOTE,/docs/DOCTRINE_TABLES_TRANSITION_NOTE|/qa/DOCTRINE+TABLES+TRANSITION+NOTE,DOCTRINE_TABLES_TRANSITION_NOTE,underscore,/doctrine,/{base}/{slug}
docs/doctrine/ETHICAL_STATE_MARKERS_DOCTRINE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5017,docs/doctrine/ETHICAL_STATE_MARKERS_DOCTRINE.md,ProtonVPN Mexico,/doctrine/ETHICAL_STATE_MARKERS_DOCTRINE,/docs/ETHICAL_STATE_MARKERS_DOCTRINE|/qa/ETHICAL+STATE+MARKERS+DOCTRINE,ETHICAL_STATE_MARKERS_DOCTRINE,underscore,/doctrine,/{base}/{slug}
docs/doctrine/FILESYSTEM_MIGRATION_GUIDE.md,4.0.16,20260217230000,20260217000000,20260218000000,51,5018,docs/doctrine/FILESYSTEM_MIGRATION_GUIDE.md,ProtonVPN Mexico,/doctrine/FILESYSTEM_MIGRATION_GUIDE,/docs/FILESYSTEM_MIGRATION_GUIDE|/qa/FILESYSTEM+MIGRATION+GUIDE,FILESYSTEM_MIGRATION_GUIDE,underscore,/doctrine,/{base}/{slug}
