# Repository Cleanup Candidates
# Generated: 2026-02-28T16:32:59Z
# Total candidates: 4292

LegacyIndex.php | legacy directory
app\Services\CraftySyntax\LegacyAdmin.php | legacy directory
app\Services\CraftySyntax\LegacyAdminActions.php | legacy directory
app\Services\CraftySyntax\LegacyAdminChatBot.php | legacy directory
app\Services\CraftySyntax\LegacyAdminChatFlush.php | legacy directory
app\Services\CraftySyntax\LegacyAdminChatRefresh.php | legacy directory
app\Services\CraftySyntax\LegacyAdminChatXmlHttp.php | legacy directory
app\Services\CraftySyntax\LegacyAdminCommon.php | legacy directory
app\Services\CraftySyntax\LegacyAdminOptions.php | legacy directory
app\Services\CraftySyntax\LegacyAdminUsers.php | legacy directory
app\Services\CraftySyntax\LegacyAdminUsersRefresh.php | legacy directory
app\Services\CraftySyntax\LegacyAuthentication.php | legacy directory
app\Services\CraftySyntax\LegacyBufferStreaming.php | legacy directory
app\Services\CraftySyntax\LegacyChannels.php | legacy directory
app\Services\CraftySyntax\LegacyChooseDepartment.php | legacy directory
app\Services\CraftySyntax\LegacyDepartmentFunction.php | legacy directory
app\Services\CraftySyntax\LegacyDepartments.php | legacy directory
app\Services\CraftySyntax\LegacyExternalChatXmlHttp.php | legacy directory
app\Services\CraftySyntax\LegacyFlushUtilities.php | legacy directory
app\Services\CraftySyntax\LegacyFunctions.php | legacy directory
app\Services\CraftySyntax\LegacyIsFlushDetection.php | legacy directory
app\Services\CraftySyntax\LegacyLive.php | legacy directory
app\Services\CraftySyntax\LegacyLiveHelpJs.php | legacy directory
app\Services\CraftySyntax\LegacySessionIdentity.php | legacy directory
app\Services\CraftySyntax\LegacySessionManager.php | legacy directory
app\Services\CraftySyntax\LegacyTheatricalUIWrapper.php | legacy directory
app\Services\CraftySyntax\LegacyUserChatFlush.php | legacy directory
app\Services\CraftySyntax\LegacyUserChatRefresh.php | legacy directory
database\migrations\legacy\20260129184534.sql | legacy directory
database\migrations\legacy\20260201_000001_add_doctrine_boot_block.sql | legacy directory
database\migrations\legacy\2026_01_30_demo_operators.sql | legacy directory
database\migrations\legacy\2026_01_30_kapu_protocol.sql | legacy directory
database\migrations\legacy\2026_01_31_migrate_filesystem_to_database.sql | legacy directory
database\migrations\legacy\2026_02_01_collections_user_id_to_actor_id.sql | legacy directory
database\migrations\legacy\channels_batch_insert.sql | legacy directory
database\migrations\legacy\channels_batch_insert_5116_5130.sql | legacy directory
database\migrations\legacy\channels_batch_insert_safe.sql | legacy directory
database\migrations\legacy\craftysyntax_to_lupopedia_mysql.sql | legacy directory
database\migrations\legacy\dev_20260204_fix_schema_alignment.sql | legacy directory
database\migrations\legacy\dev_20260204_theme_support.sql | legacy directory
database\migrations\legacy\dev_20260205_doctrine_alignment_phase2.sql | legacy directory
database\migrations\legacy\dev_20260206_reserved_word_column_renames.sql | legacy directory
database\migrations\legacy\migration_unify_groups_into_departments.sql | legacy directory
database\migrations\legacy\system_actors_channel_memberships.sql | legacy directory
database\migrations\legacy\system_actors_channel_memberships_final.sql | legacy directory
database\migrations\legacy\system_actors_manifest.sql | legacy directory
database\migrations\legacy\system_actors_manifest_corrected.sql | legacy directory
database\migrations_legacy\20260114220000.sql | legacy directory
database\migrations_legacy\20260120094100_drop_crafty_tables_add_semantic_views.sql | legacy directory
database\migrations_legacy\20260120110914_add_missing_toon_tables.sql | legacy directory
database\migrations_legacy\20260120111220_add_missing_toon_tables_clean.sql | legacy directory
database\migrations_legacy\20260120112626_add_missing_toon_tables.sql | legacy directory
database\migrations_legacy\20260120112854_add_missing_toon_tables.sql | legacy directory
database\migrations_legacy\20260120112952_add_missing_toon_tables_clean.sql | legacy directory
database\migrations_legacy\20260120_consolidation_execute_4.1.19.sql | legacy directory
database\migrations_legacy\20260120_consolidation_plan_4.1.18.sql | legacy directory
database\migrations_legacy\20260120_drop_legacy_tables_and_set_limit_4.1.17.sql | legacy directory
database\migrations_legacy\20260121_010000_wire_channels_to_content.sql | legacy directory
database\migrations_legacy\20260122_channel_system_migration.sql | legacy directory
database\migrations_legacy\20260122_world_graph_missing_tables_migration.sql | legacy directory
database\migrations_legacy\3.0.113_add_seven_love_agents.sql | legacy directory
database\migrations_legacy\3.0.115_add_pack_identity_agent.sql | legacy directory
database\migrations_legacy\3.0.120_add_seven_opposite_polarity_emotional_agents.sql | legacy directory
database\migrations_legacy\4.1.12_add_four_tables_to_ceiling_180.sql | legacy directory
database\migrations_legacy\4.1.1_add_missing_emotional_agents.sql | legacy directory
database\migrations_legacy\4.1.1_backup_table_template.sql | legacy directory
database\migrations_legacy\4.1.2_clarify_mood_rgb_terminology.sql | legacy directory
database\migrations_legacy\4.1.3_insert_pack_role_registry.sql | legacy directory
database\migrations_legacy\4.1.3_rename_dialog_messages_to_dialog_doctrine.sql | legacy directory
