#TYPE Selected.Microsoft.PowerShell.Commands.MatchInfo
"Pattern","LineNumber"
"@[a-zA-Z_]+","2"
"@[a-zA-Z_]+","3820"
"@[a-zA-Z_]+","3821"
"@[a-zA-Z_]+","3822"
"@[a-zA-Z_]+","3823"
"@[a-zA-Z_]+","3824"
"@[a-zA-Z_]+","3825"
"@[a-zA-Z_]+","3826"
"@[a-zA-Z_]+","3827"
"@[a-zA-Z_]+","3828"
"@[a-zA-Z_]+","3833"
"@[a-zA-Z_]+","3834"
"@[a-zA-Z_]+","3835"
"@[a-zA-Z_]+","3836"
"@[a-zA-Z_]+","3837"
"@[a-zA-Z_]+","3838"
"@[a-zA-Z_]+","3839"
"@[a-zA-Z_]+","3840"
"@[a-zA-Z_]+","3841"
"@[a-zA-Z_]+","3898"
"@[a-zA-Z_]+","3899"
"@[a-zA-Z_]+","3900"
"@[a-zA-Z_]+","3901"
"@[a-zA-Z_]+","3902"
"@[a-zA-Z_]+","3903"
"@[a-zA-Z_]+","3904"
"@[a-zA-Z_]+","3905"
"@[a-zA-Z_]+","3906"
"@[a-zA-Z_]+","3918"
"@[a-zA-Z_]+","3919"
"@[a-zA-Z_]+","3923"
"@[a-zA-Z_]+","3924"
"@[a-zA-Z_]+","3928"
"@[a-zA-Z_]+","3929"
"@[a-zA-Z_]+","3933"
"@[a-zA-Z_]+","3934"
"@[a-zA-Z_]+","3946"
"@[a-zA-Z_]+","3947"
"@[a-zA-Z_]+","3951"
"@[a-zA-Z_]+","3952"
"@[a-zA-Z_]+","3956"
"@[a-zA-Z_]+","3957"
"@[a-zA-Z_]+","3961"
"@[a-zA-Z_]+","3962"
"@[a-zA-Z_]+","3972"
"@[a-zA-Z_]+","3974"
"@[a-zA-Z_]+","4018"
"@[a-zA-Z_]+","4019"
"@[a-zA-Z_]+","4023"
"@[a-zA-Z_]+","4024"
"@[a-zA-Z_]+","4027"
"@[a-zA-Z_]+","4028"
"@[a-zA-Z_]+","4032"
"@[a-zA-Z_]+","4033"
"@[a-zA-Z_]+","4036"
"@[a-zA-Z_]+","4037"
